site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,prod_size,dev_stat,ore,gangue,work_type,hrock_type,arock_type
Pumpkin Hollow,38.94021,-119.05178,NA,United States,Nevada,Lyon,M,Iron,"Copper, Gold, Silver",,Surface,,Prospect,,,Surface,,
Mount Wheeler Mine,38.90525,-114.34444,NA,United States,Nevada,White Pine,B,"Tungsten, Beryllium, Fluorine-Fluorite",,,Underground,,Past Producer,,,Underground,,
Mt. Hope Iron Mine & Plant,40.9331,-74.53569,NA,United States,New Jersey,Morris,M,Iron,,,Underground,,Past Producer,,,Underground,,
Aurora Operations,35.36119,-76.80701,NA,United States,North Carolina,Beaufort,B,Phosphorus-Phosphates,,"Uranium, Fluorine-Fluorite",Surface,,Producer,,,Surface,"Clay, Mud,Silt,Sand and Gravel,Limestone",
Leicester Chromite Prospect,35.6537,-82.69096,NA,United States,North Carolina,Buncombe,M,Chromium,,Iron,Surface,,Prospect,,,Surface,,
Raggedy Mtn Gabbroic Anorthosite,34.8301,-98.95036,NA,United States,Oklahoma,Kiowa,B,Aluminum,,"Titanium, Silica, Iron, Sodium, Calcium",Surface,,Occurrence,,,Surface,,
Eight Dollar Mtn Laterite,42.22262,-123.65835,NA,United States,Oregon,Josephine,M,Nickel,,"Iron, Cobalt, Chromium",Surface,,Prospect,,,Surface,,
Renshaw Chromite Placer Deposit,39.73942,-76.04934,NA,United States,Pennsylvania,Chester,M,Chromium,,,Surface,,Prospect,,,Surface,,
Southwestern Graphite Mine,30.78551,-98.35613,NA,United States,Texas,Burnet,N,Graphite,,,Surface,,Past Producer,,,Surface,,
Carthage Property,36.23479,-85.90276,NA,United States,Tennessee,Smith,B,Zinc,,Dolomite,Underground,,Prospect,,,Underground,,
Comanche Creek Mine,31.00579,-102.67855,NA,United States,Texas,Pecos,N,Sulfur,,,Well,,Producer,,,Underground,,
Sierra Blanca,31.28327,-105.47973,NA,United States,Texas,Hudspeth,M,Beryllium,,,Underground,,Prospect,,,Underground,,
Old Rattler,38.09859,-109.25569,NA,United States,Utah,San Juan,M,"Uranium, Vanadium",,,Surface-Underground,,Producer,,,Surface,,
Piney River,37.70176,-79.02334,NA,United States,Virginia,Amherst,M,Titanium,,,Surface-Underground,,Past Producer,,,"Surface, Underground",,
Topaz Mountain,39.70664,-113.21802,NA,United States,Utah,Juab,M,Beryllium,,Uranium,Surface,,Producer,,,Surface,,
Escalante,37.69077,-113.72051,NA,United States,Utah,Iron,M,Silver,,"Zinc, Lead, Copper",Underground,,Past Producer,,,Underground,,
North Bennington Kaolin,42.89498,-73.21143,NA,United States,Vermont,Bennington,M,Aluminum,,"Iron, Titanium, Silica",Surface,,Prospect,,,Surface,,
Cle Elum Iron-Nickel Deposit,47.44902,-121.05259,NA,United States,Washington,Kittitas,M,"Nickel, Iron, Chromium",,,Underground,,Prospect,,,"Surface, Underground",,
Pend Oreille Mine,48.88333,-117.35645,NA,United States,Washington,Pend Oreille,M,"Zinc, Lead","Copper, Silver",Cadmium,Underground,,Producer,"Sphalerite, Galena, Smithsonite, Cerussite, Chalcopyrite, Marcasite","Calcite, Dolomite, Pyrite, Quartz, Barite",Underground,"Dolomite,Slate,Argillite",Lamprophyre
Holden Mine,48.197,-120.78,NA,United States,Washington,Chelan,M,Copper,"Zinc, Silver, Gold","Molybdenum, Sulfur-Pyrite, Uranium, Nickel, Lead, Arsenic",Underground,,Past Producer,"Chalcopyrite, Bournonite, Sphalerite, Galena, Gold, Silver, Molybdenite, Chalcocite, Malachite, Pitchblende, Pyrrhotite, Scheelite","Calcite, Magnetite, Pyrite, Quartz, Actinolite, Apatite, Arsenopyrite, Biotite, Chlorite, Epidote, Garnet, Sericite, Sillimanite, Sphene, Tourmaline, Zircon",Underground,"Schist,Tuff,Gneiss",Plutonic Rock
Bearhole Mine,42.58111,-90.27071,NA,United States,Wisconsin,Lafayette,M,Zinc,Lead,,Underground,,Past Producer,,,Underground,,
Van Stone Mine,48.761,-117.757,NA,United States,Washington,Stevens,M,Zinc,Lead,,Surface-Underground,,Past Producer,"Galena, Jamesonite, Sphalerite","Dolomite, Calcite, Diopside, Graphite, Jasper, Pyrite, Pyrrhotite, Quartz, Scapolite, Sepiolite, Serpentine, Tremolite",Underground,Dolomite,Granodiorite
Pine Lake Taconite Deposit,46.2639,-90.10011,NA,United States,Wisconsin,Iron,B,Iron,,"Water, Free",Surface,,Prospect,,,Surface,,
Gogebic Deposit,47.45999,-92.95855,NA,United States,Wisconsin,Iron,M,Iron,,"Water, Free",Surface,,Prospect,,,Surface,,
Witch,46.66706,-121.2094,NA,United States,Washington,Yakima,M,Silver,,Mercury,Surface,,Prospect,,,Surface,,
Ruby Creek,44.21517,-116.22097,NA,Canada,British Columbia,,M,Molybdenum,,,Surface,,Prospect,"Molybdenite, Chalcopyrite, Powellite",Quartz,Surface,Granite,
Mel,60.3513,-127.40608,NA,Canada,,,B,"Zinc, Lead, Barium-Barite",Silver,,Underground,,Prospect,,,Underground,,
Sublette Range Combined,42.2,-110.9833,NA,United States,Wyoming,Lincoln,N,Phosphorus-Phosphates,,Uranium,Surface-Underground,,Past Producer,,,"Surface, Underground",,
Geco,49.15561,-85.78885,NA,Canada,Ontario,,M,"Zinc, Silver, Lead, Copper",Gold,Sulfur-Pyrite,Underground,,Producer,,,Underground,,
Kidd Creek,48.69,-81.36978,NA,Canada,Ontario,,B,"Zinc, Silver, Copper","Tin, Gold, Lead, Cadmium, Sulfur, Sulfuric Acid",,Underground,,Producer,,,Underground,,
Levack,46.65059,-81.37759,NA,Canada,Ontario,,M,Nickel,"Cobalt, Copper","Gold, PGE, Palladium, Platinum, Silver",Underground,,Producer,,,Underground,,
Hoback Range Combined,43.21662,-110.66749,NA,United States,Wyoming,Teton,B,Phosphorus-Phosphates,,Uranium,Surface-Underground,,Prospect,Apatite,"Calcite, Dolomite, Feldspar, Fluorite, Gypsum, Illite, Kaolinite, Limonite, Montmorillonite, Pyrite, Quartz, Sphene, Tourmaline, Zircon","Surface, Underground",,
Lac La Croix,48.3625,-91.99048,NA,Canada,Ontario,,M,Lithium,,,Underground,,Prospect,,,Underground,,
Brunswick No. 12,47.47323,-65.89093,NA,Canada,New Brunswick,,M,"Zinc, Lead","Copper, Silver",,Underground,,Producer,,,Underground,,
Pin Rouge Lake,45.96167,-74.04453,NA,Canada,Quebec,,M,"Iron, Titanium",,,Surface,,Prospect,,,Surface,,
Brenda,49.88314,-120.0012,NA,Canada,British Columbia,,M,"Copper, Molybdenum","Silver, Gold",,Surface,,Past Producer,,,Surface,,
Trout Lake,50.63316,-117.60115,NA,Canada,British Columbia,,M,Molybdenum,,,Surface,,Prospect,,,Underground,,
Abcourt-Barvue/Pershcourt-Frebert,48.52499,-77.69134,NA,Canada,Quebec,,M,"Silver, Zinc",,,Underground,,Producer,,,Underground,,
Naica,27.86697,-105.50051,NA,Mexico,Chihuahua,,M,"Silver, Lead, Zinc","Copper, Cadmium, Gold, Tungsten",,Underground,,Producer,,,Underground,,
Yellowknife Lithium Group,62.50012,-113.00135,NA,Canada,Northwest Territories,,M,Lithium,,,Surface,,Prospect,,,Surface,,
Copper Rand / Portage,49.88328,-74.2828,NA,Canada,Quebec,,M,"Copper, Gold",,,Underground,,Producer,,,Underground,,
Fox,56.63537,-101.65235,NA,Canada,Manitoba,,M,"Copper, Zinc","Gold, Silver",,Underground,,Past Producer,,,Underground,,
Boss Mountain Mine,52.09984,-120.9346,NA,Canada,British Columbia,,M,Molybdenum,,,Surface-Underground,,Producer,,,"Surface, Underground",,
Lac Des Iles,49.18331,-89.57729,NA,Canada,Ontario,,M,"Platinum, Palladium, PGE","Nickel, Gold, Copper",,Surface,,Producer,,,Surface,,
Bethlehem,50.48983,-120.98126,NA,Canada,British Columbia,,M,Copper,"Silver, Molybdenum",Gold,Surface,,Past Producer,,,Surface,,
Silver Queen Mine,54.07979,-126.73156,NA,Canada,British Columbia,,M,"Silver, Zinc","Cadmium, Copper, Gold, Lead",,Underground,,Producer,,,Underground,,
Valley,50.48733,-121.04436,NA,Canada,British Columbia,,M,Copper,"Molybdenum, Gold, Silver",,Surface,,Past Producer,,,Surface,,
British Canadian Mine,46.08326,-71.24943,NA,Canada,Quebec,,M,Gold,Silver,,Surface,,Producer,,,Surface,,
Castaneda De Llamuco,-31.71746,-70.75952,SA,Chile,Coquimbo,,M,Tungsten,,Copper,Surface-Underground,,Past Producer,,,Surface,,
Chacarilla,-17.67766,-68.36951,SA,Bolivia,La Paz,,M,Copper,,,Underground,,Producer,,,Underground,,
Bolanitos,21.04635,-101.33368,NA,Mexico,Guanajuato,,M,Silver,Gold,,Underground,,Producer,,,Underground,,
Rakha Mine,22.5661,86.41687,AS,India,Bihar,,M,Copper,,,Underground,,Producer,,,Underground,,
Funtana Raminosa,39.86571,9.25186,EU,Italy,Sardegna,,M,"Zinc, Copper, Lead",Silver,,Underground,,Producer,,,Underground,,
La Cascajera Pesca,-5.63144,-73.08295,SA,Colombia,Boyaca,,N,Phosphorus-Phosphates,,,Underground,,Producer,,,Underground,,
Breadnut Valley,17.8757,-77.48305,CR,Jamaica,Clarendon,,M,Aluminum,,,Surface,,Producer,,,Surface,,
No Other Name Is Known.,50.74869,13.88553,EU,Czech Republic,,,M,"Tungsten, Tin",,,Underground,,Producer,,,Underground,,
Antamina,-9.53127,-77.08305,SA,Peru,Ancash,,M,"Copper, Zinc","Silver, Molybdenum",,Surface,,Prospect,,,Surface,,
Pedra Azul,-15.88094,-45.1323,SA,Brazil,Minas Gerais,,N,Graphite,,,Surface,,Producer,,,Surface,,
Tamandua,-20.09749,-44.07395,SA,Brazil,Minas Gerais,,M,Iron,,,Surface,,Prospect,,,Surface,,
Arrowcane East,5.95127,-58.1326,SA,Guyana,,,M,Aluminum,,,Surface,,Past Producer,,,Surface,,
Onverdacht Bauxite Mine,5.63409,-55.14983,SA,Suriname,,,M,Aluminum,,,Surface,,Producer,,,"Surface, Underground",,
Ballynoe,52.60102,-8.29268,EU,Ireland,Tipperary,,N,Barium-Barite,,,Surface,,Producer,,,Surface,,
Atasuiskkarazal,48.01464,70.83411,AS,Kazakhstan,,,M,Iron,,,Underground,,Producer,,,Underground,,
Casa De Pedra,-20.08919,-44.06565,SA,Brazil,Minas Gerais,,M,Iron,,,Surface,,Producer,,,Surface,,
Karaburun-Izmir,38.61849,26.49609,AS,Turkey,Izmir,,M,Mercury,,,Surface,,Past Producer,,,Surface,,
Khingansk,49.11476,131.19864,EU,Russia,,,M,Tin,,,Surface-Underground,,Producer,,,"Surface, Underground",,
Avoca,52.86578,-6.23095,EU,Ireland,Wicklow,,B,Copper,,"Zinc, Silver, Lead, Sulfur",Underground,,Past Producer,,,Underground,,
Manaka,5.22131,-57.03538,SA,Guyana,,,M,Aluminum,,,Surface,,Producer,,,Surface,,
Corrego Do Feijao,-20.10249,-44.12566,SA,Brazil,Minas Gerais,,M,Iron,,,Surface,,Producer,,,Surface,,
Conceicao/Dos Corregos,-19.6536,-43.28084,SA,Brazil,Minas Gerais,,M,Iron,,,Surface,,Producer,,,Surface,,
Coomacka,5.96797,-58.266,SA,Guyana,,,M,Aluminum,,,Surface,,Past Producer,,,Surface,,
Hitura,63.98662,24.94583,EU,Finland,,,M,"Copper, Nickel",,,Underground,,Producer,,,"Surface, Underground",,
Catalao-Goiasfertil,-18.13087,-47.79904,SA,Brazil,Goias,,B,Phosphorus-Phosphates,,"Calcium, Titanium, Aluminum, Iron, Magnesite, Niobium (Columbium), REE, Uranium, Vanadium, Vermiculite",Surface,,Producer,,,Surface,,
Mazaugues Deposit,43.33226,5.91867,EU,France,,,M,Aluminum,,,Underground,,Producer,,,Underground,,
L'Argentiere,44.19897,4.332,EU,France,,,M,"Lead, Zinc",Silver,,Underground,,Past Producer,,,Underground,,
Lohardaga,22.69939,81.7003,AS,India,Bihar,,M,Aluminum,,,Surface,,Producer,,,Surface,,
Aberfeldy,56.04575,-4.31915,EU,United Kingdom,,,N,Barium-Barite,,,Underground,,Prospect,,,Underground,,
Espirito Santo,-16.91438,-67.7995,SA,Bolivia,La Paz,,M,Antimony,,,Underground,,Producer,,,Underground,,
West Bank No. 3,5.03632,-58.0776,SA,Guyana,,,M,Aluminum,,,Surface,,Producer,,,Surface,,
Banska Stiavnica,48.44863,18.90208,EU,Slovakia,,,M,"Silver, Zinc",Lead,,Underground,,Producer,,,Underground,,
Tyrny-Aux,43.39838,42.91821,EU,Russia,,,M,"Tungsten, Molybdenum",,Bismuth,Surface-Underground,,Producer,,,"Surface, Underground",,
Realmonte,37.29904,13.46848,EU,Italy,Sicilia,,N,Potassium,,,Underground,,Producer,,,Underground,,
Accaribo,5.75128,-55.21594,SA,Suriname,,,M,Aluminum,,,Surface,,Producer,,,Surface,,
Felbertal,47.79874,13.0354,EU,Austria,Salzburg,,M,Tungsten,,,Surface-Underground,,Producer,,,Surface,,
Parys Mountain,53.38654,-4.34122,EU,United Kingdom,,,M,"Copper, Lead, Zinc","Gold, Silver",,Underground,,Prospect,,,Underground,,
Meggen,51.1238,8.07398,EU,Germany,Nordrhein-Westfalen,,B,"Zinc, Lead",Sulfur,,Underground,,Past Producer,,,Underground,,
Manciano Mine,42.79888,11.25194,EU,Italy,Toscana,,M,"Antimony, Sulfur-Pyrite, Lead, Zinc",,,Surface,,Producer,,,"Surface, Underground",,
Bito Ii Mine,47.06538,17.53534,EU,Hungary,Veszprem,,M,Aluminum,,,Underground,,Producer,,,Underground,,
Caracota Mine,-20.08089,-65.91615,SA,Bolivia,La Paz,,M,Antimony,,Gold,Underground,,Producer,,,Underground,,
Recsk,47.94861,20.06875,EU,Hungary,Heves,,M,"Zinc, Lead, Copper","Molybdenum, Silver",,Underground,,Prospect,,,Underground,,
Fazendinha,-3.9649,-59.28263,SA,Brazil,Amazonas,,N,Potassium,,,Underground,,Prospect,,,Underground,,
Sharkya B,34.71554,36.70145,AS,Syria,,,N,Phosphorus-Phosphates,,,Surface,,Producer,,,Surface,,
Fluorita De Mexico,28.53356,-102.50043,NA,Mexico,Michoacan De Ocampo,,N,Fluorine-Fluorite,,,Underground,,Producer,,,Underground,,
Comsur,-18.83092,-65.78275,SA,Bolivia,Potosi,,M,Tin,,,Surface,,Producer,,,Surface,,
Almaden,38.46927,-4.49818,EU,Spain,,,M,Mercury,,,Underground,,Producer,,,"Surface, Underground",,
Potosialluvial,-9.83124,-62.9161,SA,Brazil,Rondonia,,M,Tin,,,Surface,,Past Producer,,,Surface,,
Donskoy Complex S,50.24799,58.36797,AS,Kazakhstan,,,M,Chromium,,,Surface,,Producer,,,Surface,,
Gullermin/San Fernando Espiel,38.24928,-4.96489,EU,Spain,,,B,Barium-Barite,Lead,,Underground,,Producer,,,Underground,,
Uckopru,37.24882,28.66833,AS,Turkey,Mugla,,M,Chromium,,,Underground,,Producer,,,Underground,,
Minas Gerais,-18.99749,-40.99889,SA,Brazil,Minas Gerais,,M,Beryllium,,,Surface,,Producer,,,Surface,,
Chambillaya,-16.99767,-67.21619,SA,Bolivia,La Paz,,M,Tungsten,,,Underground,,Past Producer,,,Underground,,
Porco,-18.21764,-65.55944,SA,Bolivia,Cochabamba,,M,"Zinc, Lead",Silver,,Underground,,Producer,,,Underground,,
Araxa-Camig,-19.54362,-46.89591,SA,Brazil,Minas Gerais,,B,Phosphorus-Phosphates,,"Niobium (Columbium), Iron, Uranium, Barium-Barite",Surface,,Producer,,,Surface,,
Baritex,-21.01698,-70.41766,SA,Chile,Atacama,,N,Barium-Barite,,,Surface,,Producer,,,"Surface, Underground",,
Potrerillos,-26.46578,-69.43391,SA,Chile,Atacama,,M,Copper,"Silver, Molybdenum, Gold",,Underground,,Past Producer,,,Underground,,
Patos De Minas,-18.31426,-46.91572,SA,Brazil,Minas Gerais,,N,Phosphorus-Phosphates,,,Surface,,Producer,,,Surface,,
Itataia,-4.49955,-39.29893,SA,Brazil,Ceara,,B,"Uranium, Phosphorus-Phosphates",,"Magnesite, Iron, Aluminum, Calcium",Surface,,Prospect,,,Surface,,
Cuprita,-18.14765,-68.21951,SA,Bolivia,Oruro,,M,Copper,,,Surface-Underground,,Past Producer,,,Underground,,
Cabo Rojo Bauxite Mines,18.13398,-71.54959,CR,Dominican Republic,Pedernales,,B,"Aluminum, Limestone, General",,,Surface,,Past Producer,,,Surface,,
Sao Joao Do Piaui,-8.33126,-42.24897,SA,Brazil,Piaui,,M,Nickel,,,Surface,,Prospect,,,Surface,,
Discovery Bay Water Valley,18.34788,-77.39004,CR,Jamaica,,,M,Aluminum,,Silica,Surface,,Producer,,,Surface,,
Candelaria Intercontinental,15.62087,119.99262,AS,Philippines,,,M,Chromium,,,Surface-Underground,,Prospect,,,"Surface, Underground, Water",,
Simandou,8.53099,-8.89858,AF,Guinea,Beyla,,M,Iron,,,Surface,,Prospect,,,Surface,,
Tiebaghi Massif,-20.45944,164.20685,OC,France,Territory of New Caledonia and Dependencies,,M,Chromium,,,Underground,,Producer,,,Underground,,
Kalengwa,-13.4592,24.9989,AF,Zambia,North-Western,,M,Copper,Silver,,Surface,,Producer,"Bornite, Chalcopyrite, Chalcocite, Chrysocolla, Malachite",,Surface,Clastic Sedimentary Rock,
Cascade,46.4389,-87.54171,NA,United States,Michigan,Marquette,M,Iron,,"Water, Free",Surface,,Prospect,,,Surface,,
Cataby,-30.72937,115.51606,OC,Australia,Western Australia,,M,Titanium,,"REE, Zirconium",Surface,,Prospect,,,Surface,,
Huangmailing Phosphate Mine,31.48204,114.16609,AS,China,Hubei [Hupeh],,N,Phosphorus-Phosphates,,,Surface,,Producer,,,Surface,,
Lepanto,16.88326,120.7826,AS,Philippines,,,M,"Gold, Copper",Silver,,Underground,,Producer,,,Underground,,
"Ban Lard Mill, Thao Dam Mine",13.03358,99.91652,AS,Thailand,,,N,Fluorine-Fluorite,,,Surface-Underground,,Past Producer,,,"Surface, Underground",,
Gandhamardhan,20.83285,82.80027,AS,India,Orissa,,M,Aluminum,,,Surface,,Prospect,,,Surface,,
Black Mountainaggeneys Area,-29.2299,18.73078,AF,South Africa,,,M,"Copper, Silver, Zinc, Lead",,,Surface-Underground,,Prospect,,,"Surface, Underground",,
Wittenoom,-22.24653,118.33263,OC,Australia,Western Australia,,M,Iron,,,Surface,,Prospect,,,Surface,,
Nonoc,9.68395,125.68251,AS,Philippines,,,M,Nickel,Cobalt,,Surface,,Past Producer,,,Surface,,
Adag Mine,46.39795,109.18271,AS,Mongolia,Hentiy,,N,Fluorine-Fluorite,,,Surface,,Producer,,,Surface,,
Buffalo Fluorspar,65.69526,-65.68813,AF,South Africa,,,N,Fluorine-Fluorite,,,Surface,,Past Producer,,,Surface,,
Broken Hill South,-31.96622,141.44683,OC,Australia,New South Wales,,M,"Lead, Silver, Zinc",,,Surface,,Producer,,,Surface,,
Shamva,-17.33036,31.57772,AF,Zimbabwe,,,M,Gold,Silver,,Underground,,Producer,,,Underground,,
Yandi,-22.8132,119.21601,OC,Australia,Western Australia,,M,Iron,,,Surface,,Prospect,,,Surface,,
Zhayrem Polymetal,48.26463,70.23413,AS,Kazakhstan,,,B,"Zinc, Lead",,"Manganese, Barium-Barite",Surface,,Producer,,,Surface,,
Jhamarkotra,24.46596,73.83382,AS,India,Rajasthan,,N,Phosphorus-Phosphates,,,Surface,,Producer,,,Surface,,
Shangani,-20.0969,29.00139,AF,Zimbabwe,,,M,Nickel,"Copper, Cobalt",,Underground,,Producer,,,Underground,,
Musoshi,-12.2719,27.7362,AF,Congo (Kinshasa),Katanga,,M,Copper,,,Underground,,Producer,"Bornite, Chalcocite, Chalcopyrite, Malachite",,Underground,"Quartzite,Shale,Dolomite",
Kansanshi,-12.0968,26.433,AF,Zambia,North-Western,,M,Copper,Gold,,Surface,,Past Producer,"Chalcopyrite, Pyrite, Pyrrhotite, Molybdenite",,Surface,Metamorphic Rock,
Crocodile River,-25.49664,27.49315,AF,South Africa,,,M,Platinum,"Copper, Gold, Nickel","Iridium, Osmium, Palladium, Rhodium, Ruthenium",Underground,,Producer,,,Underground,,
Mokanji Mountain,-15.96382,35.58456,AF,Malawi,,,M,Aluminum,,,Surface,,Prospect,,,Surface,,
Hungshuichai Tungsten Mine,25.48249,114.18272,AS,China,Jiangxi [Kiangsi],,M,"Tungsten, Tin",,,Underground,,Prospect,,,Underground,,
Infanta,8.51745,117.74939,AS,Philippines,,,M,Nickel,Cobalt,,Surface,,Prospect,,,Surface,,
Bolan Gunga,27.74074,66.53402,AS,Pakistan,,,N,Barium-Barite,,,Surface,,Producer,,,Surface,,
Mt. Charlotte Ug,-30.7461,121.4992,OC,Australia,Western Australia,,M,Gold,Silver,,Underground,,Producer,,,Underground,,
Fraser,46.66529,-81.35119,NA,Canada,Ontario,,M,Nickel,Copper,"Platinum, PGE, Cobalt",Underground,,Producer,,,Underground,,
Wengfu/Yingping Mine,26.99906,107.3329,AS,China,Guizhou [Kweichow],,N,Phosphorus-Phosphates,,,Surface,,Producer,,,Surface,,
Kilembe,0.23487,30.01798,AF,Uganda,,,B,Copper,,"Nickel, Gold, Cobalt, Sulfur",Underground,,Past Producer,,,Underground,,
Eneabba/Narngulu Operations,-29.77941,115.41606,OC,Australia,Western Australia,,M,"REE, Titanium, Zirconium",,,Surface,,Producer,,,"Surface, Water",,
Kamoto,-10.7143,25.4009,AF,Congo (Kinshasa),Katanga,,M,Copper,Cobalt,,Underground,,Producer,"Bornite, Carrollite, Chalcocite, Chalcopyrite, Covellite, Digenite, Malachite","Chlorite, Quartz, Dolomite",Underground,"Quartzite,Shale,Dolomite",
Elandsrand Buffelsdoorn,-26.4633,27.38476,AF,South Africa,,,M,Gold,Silver,,Underground,,Producer,,,Underground,,
Killinghall Malaysia Bhd,3.0013,103.23304,AS,Malaysia,Selangor,,M,Tin,,,Surface,,Producer,,,Surface,,
York Mine,-19.01366,30.28465,AF,Zimbabwe,Midlands,,M,Chromium,,,Underground,,Past Producer,,,Underground,,
Ismail,36.69916,7.10179,AF,Algeria,Constantine,,M,Mercury,,,Surface,,Producer,,,Surface,,
Kambove / Kamfundwa,-10.83084,24.66806,AF,Congo (Kinshasa),Katanga,,M,Copper,Cobalt,,Underground,,Producer,,,Underground,,
Woodlawn Mine,-35.06313,149.56543,OC,Australia,New South Wales,,M,"Copper, Lead, Zinc","Gold, Silver",,Underground,,Producer,,,Underground,,
El Pao,8.11786,-61.63267,SA,Venezuela,Bolivar,,M,Iron,,,Surface,,Producer,,,Surface,,
Unisel/Jurgenshof/Tarkwa,-28.04654,26.80149,AF,South Africa,Free State,,B,Gold,Silver,"Sulfur, Uranium",Underground,,Producer,,,Underground,,
Baiyin Copper Mine,36.53168,104.19965,AS,China,Gansu [Kansu],,M,Copper,"Gold, Silver",,Surface-Underground,,Producer,,,"Surface, Underground",,
Djebel Onk,34.71592,8.00175,AF,Algeria,Annaba,,N,Phosphorus-Phosphates,,,Surface,,Producer,,,Surface,,
Sherlock Bay,-20.79662,117.53266,OC,Australia,Western Australia,,M,Nickel,Copper,,Underground,,Prospect,,,Underground,,
Philex Santo Tomas,16.26392,120.6204,AS,Philippines,,,M,"Copper, Gold",,,Underground,,Producer,,,Underground,,
Dexing Copper Mine,28.91564,117.54931,AS,China,Jiangxi [Kiangsi],,M,"Copper, Molybdenum","Gold, Rhenium, Silver","Cobalt, Sulfur-Pyrite, Nickel, Osmium",Surface,,Producer,,,Surface,,
Kakanda,-10.79754,26.46804,AF,Congo (Kinshasa),Katanga,,M,Copper,Cobalt,,Surface,,Producer,"Chalcocite, Chalcopyrite, Covellite, Cuprite, Malachite, Heterogenite",,"Surface, Underground",Dolomite,
Ergo Division Ergo,-26.2883,28.39315,AF,South Africa,,,B,Gold,"Sulfur, Uranium, Silver",,Surface,,Producer,,,Surface,,
Western Mali Bauxites,12.61742,-11.41527,AF,Mali,,,M,Aluminum,,Iron,Surface,,Prospect,,,Surface,,
Maharashtra-Madya Pradesh Area,21.95506,80.05034,AS,India,Madhya Pradesh,,B,Manganese,,Phosphorus-Phosphates,Surface,,Producer,,,Underground,,
Ora Banda,-30.44611,121.06591,OC,Australia,Western Australia,,M,Nickel,,,Surface,,Prospect,,,Surface,,
Amarkantak,22.81608,81.717,AS,India,Madhya Pradesh,,M,Aluminum,,,Surface,,Producer,,,Surface,,
KOV,-10.7134,25.4185,AF,Congo (Kinshasa),Katanga,,M,Copper,Cobalt,,Surface,,Producer,,,Surface,,
Lalapanzi,-19.31364,30.18465,AF,Zimbabwe,Midlands,,M,Chromium,,,Underground,,Producer,,,Underground,,
Minim Martap,6.93434,12.96813,AF,Cameroon,,,M,Aluminum,,Silica,Surface,,Prospect,,,Surface,,
Marievale,-26.34659,28.48475,AF,South Africa,,,M,Gold,Silver,,Underground,,Producer,,,Surface,,
Magazine Hill,-19.67862,30.00716,AF,Zimbabwe,Midlands,,M,Chromium,,,Underground,,Past Producer,,,Underground,,
Lagonoy High Grade,13.91694,123.49924,AS,Philippines,,,M,Chromium,,,Surface,,Producer,,,Underground,,
Lumwana Project,-12.28073,25.88466,AF,Zambia,North-Western,,M,Copper,Cobalt,,Surface,,Prospect,,,Surface,,
Rangala,7.10918,80.36421,AS,Sri Lanka,,,N,Graphite,,,Underground,,Producer,,,Underground,,
Libanon,-26.3633,27.61816,AF,South Africa,,,M,Gold,Silver,,Underground,,Producer,,,Underground,,
Krantzberg,-20.16371,15.5015,AF,Namibia,,,M,Tungsten,,,Underground,,Past Producer,,,Underground,,
Dalny/Arlandzer/Turk,-18.05262,29.84715,AF,Zimbabwe,,,M,Gold,Silver,,Underground,,Producer,,,Underground,,
Kudremukh,13.16698,75.16715,AS,India,Karnataka,,M,Iron,,,Surface,,Producer,,,Surface,,
Heinda Mine,14.03348,98.21236,AS,Burma,,,M,"Tungsten, Tin",,,Placer,,Producer,,,Surface,,
New Broken Hill M.,-31.96292,141.46543,OC,Australia,New South Wales,,M,"Zinc, Silver, Lead",,,Underground,,Producer,,,Underground,,
Barruecopardo,41.13253,-6.51482,EU,Spain,,,M,Tungsten,,,Surface,,Producer,,,Surface,,
Centennial No. 3-6,47.2642,-88.42895,NA,United States,Michigan,Houghton,M,Copper,,,Underground,,Past Producer,,,Underground,,
Liruie Lode,10.75075,8.77646,AF,Nigeria,,,M,"Tin, Zinc",,,Underground,,Prospect,,,Underground,,
Periquito,-19.6308,-43.23224,SA,Brazil,Minas Gerais,,M,Iron,,,Surface,,Producer,,,Surface,,
Bodennec,48.41575,-3.74785,EU,France,,,M,"Copper, Lead, Zinc","Gold, Silver",,Surface,,Prospect,,,Surface,,
Tellenes,58.33524,6.42333,EU,Norway,,,M,Titanium,Iron,,Surface,,Producer,,,Surface,,
Mindola - Nkana,-12.8233,28.1908,AF,Zambia,Copperbelt,,M,"Copper, Cobalt",,,Surface-Underground,,Producer,"Bornite, Chalcocite, Chalcopyrite, Chrysocolla, Malachite, Bravoite, Carrollite",,"Surface, Underground","Argillite,Dolomite",
Suria,41.66578,1.50192,EU,Spain,,,N,Potassium,,,Underground,,Producer,,,Underground,,
Atlas Complex,10.33229,123.72425,AS,Philippines,Palawan,,B,Copper,"Silver, Molybdenum, Gold, Sulfur",,Underground,,Producer,,,"Surface, Underground",,
Sao Raimundo,-5.8481,-52.48248,SA,Brazil,Para,,M,Tin,,,Surface,,Producer,,,Surface,,
Miami East,33.40698,-110.87569,NA,United States,Arizona,Gila,M,Copper,"Silver, Molybdenum, Gold",,Underground,,Past Producer,"Chalcopyrite, Molybdenite, Galena, Pyrite, Gold, Silver",,"Underground, Surface","Quartz Monzonite,Schist",
Blue Jack Mine,38.42225,-92.31127,NA,United States,Missouri,Cole,B,Barium-Barite,,Zinc,Surface,,Past Producer,,,Surface,,
